citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
BNA-DTW,Boeing 737-700/700LR/Max 7,90.0,94.0,7151.0,12870.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-DTW,Boeing 737-800,53.0,56.0,7251.0,9275.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-ECP,Boeing 737-300,47.0,49.0,4058.0,6523.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-ECP,Boeing 737-700/700LR/Max 7,124.0,126.0,11637.0,17732.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-EWR,Boeing 737-700/700LR/Max 7,151.0,156.0,14660.0,21593.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-HOU,Boeing 737-300,173.0,178.0,17886.0,24121.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-HOU,Boeing 737-700/700LR/Max 7,150.0,152.0,14867.0,21450.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-LAS,Boeing 737-700/700LR/Max 7,122.0,125.0,14998.0,17446.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-LAX,Boeing 737-700/700LR/Max 7,168.0,169.0,21619.0,24024.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-LGA,Boeing 737-700/700LR/Max 7,218.0,226.0,21129.0,31174.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MCI,Boeing 737-300,84.0,85.0,8188.0,11832.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MCI,Boeing 737-700/700LR/Max 7,163.0,165.0,16674.0,23309.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MCO,Boeing 737-300,125.0,127.0,14657.0,17581.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MCO,Boeing 737-700/700LR/Max 7,229.0,230.0,27993.0,32747.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MDW,Boeing 737-700/700LR/Max 7,429.0,445.0,43861.0,61347.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MDW,Boeing 737-800,56.0,57.0,6721.0,9800.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MSY,Boeing 737-300,141.0,143.0,13711.0,19851.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-MSY,Boeing 737-700/700LR/Max 7,178.0,180.0,19437.0,25454.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-OAK,Boeing 737-700/700LR/Max 7,70.0,71.0,8368.0,10010.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-PHL,Boeing 737-300,13.0,14.0,1267.0,1811.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-PHL,Boeing 737-700/700LR/Max 7,146.0,152.0,14330.0,20878.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-PHX,Boeing 737-700/700LR/Max 7,69.0,70.0,8802.0,9867.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-PNS,Boeing 737-700/700LR/Max 7,155.0,160.0,13971.0,22165.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-RDU,Boeing 737-300,20.0,21.0,2233.0,2836.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-RDU,Boeing 737-700/700LR/Max 7,235.0,241.0,25995.0,33605.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-RSW,Boeing 737-700/700LR/Max 7,85.0,86.0,9523.0,12155.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-SAN,Boeing 737-700/700LR/Max 7,67.0,68.0,8957.0,9581.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-SAT,Boeing 737-700/700LR/Max 7,76.0,77.0,9112.0,10868.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-SAT,Boeing 737-800,52.0,53.0,4648.0,9100.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-STL,Boeing 737-700/700LR/Max 7,144.0,147.0,14259.0,20592.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-TPA,Boeing 737-300,63.0,64.0,7131.0,8949.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BNA-TPA,Boeing 737-700/700LR/Max 7,273.0,278.0,29037.0,39039.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
